Genome_ID,Genus,GC_content,Genome_size_Mb
VAG_0119,Lactobacillus,39.0,3.06
VAG_0120,Lactobacillus,36.6,2.16
VAG_0121,Lactobacillus,33.6,3.29
VAG_0122,Lactobacillus,37.4,2.85
VAG_0123,Lactobacillus,35.6,2.41
VAG_0124,Lactobacillus,37.7,2.96
VAG_0125,Lactobacillus,33.1,2.66
VAG_0126,Lactobacillus,37.2,3.82
VAG_0127,Lactobacillus,39.1,1.65
VAG_0128,Lactobacillus,37.4,2.5
VAG_0129,Lactobacillus,36.5,4.36
VAG_0130,Lactobacillus,36.0,2.61
VAG_0131,Lactobacillus,36.3,3.8
VAG_0132,Lactobacillus,37.3,2.8
VAG_0133,Lactobacillus,34.6,3.83
VAG_0134,Lactobacillus,35.5,2.33
VAG_0135,Lactobacillus,34.8,2.31
VAG_0136,Lactobacillus,35.6,2.51
VAG_0137,Lactobacillus,37.3,4.14
VAG_0138,Lactobacillus,35.2,3.81
VAG_0139,Lactobacillus,36.6,2.02
VAG_0140,Lactobacillus,37.9,4.3
VAG_0141,Gardnerella,41.2,2.81
VAG_0142,Gardnerella,42.0,2.03
VAG_0143,Gardnerella,41.1,3.57
VAG_0144,Gardnerella,40.7,2.63
VAG_0145,Gardnerella,40.0,2.7
VAG_0146,Gardnerella,42.7,2.31
VAG_0147,Gardnerella,44.0,1.63
VAG_0148,Gardnerella,42.3,2.89
VAG_0149,Gardnerella,41.9,2.01
VAG_0150,Gardnerella,43.2,3.69
VAG_0151,Gardnerella,40.2,3.35
VAG_0152,Gardnerella,42.7,4.31
VAG_0153,Gardnerella,43.3,3.3
VAG_0154,Gardnerella,40.3,3.1
VAG_0155,Gardnerella,40.1,1.55
VAG_0156,Gardnerella,44.7,2.97
VAG_0157,Gardnerella,41.1,3.11
VAG_0158,Gardnerella,41.6,3.55
VAG_0159,Gardnerella,41.1,3.54
VAG_0160,Gardnerella,41.0,2.29
VAG_0161,Gardnerella,40.6,1.55
VAG_0162,Gardnerella,43.2,2.37
VAG_0163,Gardnerella,44.7,4.09
VAG_0164,Gardnerella,43.5,2.99
VAG_0165,Gardnerella,42.6,3.92
VAG_0166,Gardnerella,40.5,2.22
VAG_0167,Gardnerella,41.6,3.47
VAG_0168,Gardnerella,42.1,2.54
VAG_0169,Gardnerella,43.4,3.68
VAG_0170,Gardnerella,44.1,2.39
VAG_0171,Gardnerella,43.2,2.69
VAG_0172,Gardnerella,43.3,4.37
VAG_0173,Gardnerella,42.2,2.49
VAG_0174,Gardnerella,39.3,4.15
VAG_0175,Gardnerella,44.1,2.7
VAG_0176,Gardnerella,41.5,2.94
VAG_0177,Gardnerella,41.5,1.56
VAG_0178,Gardnerella,41.7,2.37
VAG_0179,Gardnerella,43.6,4.08
VAG_0180,Gardnerella,42.8,3.78
